LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Hizmet Binasi,Bina,METRO-T4 Habipler,ARNAVUTKÖY,28.843808,41.12222
Hizmet Binasi,Bina,059-Arnavutkoy Mezarliklar,ARNAVUTKÖY,28.751046,41.179543
Hizmet Binasi,Bina,001-Atasehir Darulaceze Tip Merkezi,ATAŞEHİR,29.147271,40.977937
Hizmet Binasi,Bina,001-Cobancesme Kurumsal Atik,BAHÇELİEVLER,28.825496,40.997055
Hizmet Binasi,Bina,061-Bahcelievler Yol Bakim,BAHÇELİEVLER,28.825249,40.99704
Hizmet Binasi,Bina,001-Florya Baskanlik Konutu,BAKIRKÖY,28.78744,40.975036
Hizmet Binasi,Bina,METRO-M1B Kirazli,BAĞCILAR,28.842542,41.031971
Hizmet Binasi,Bina,001-Beylikduzu Vektorler Birimi,BEYLİKDÜZÜ,28.642354,41.000244
Hizmet Binasi,Bina,001-IBB Beyoglu Sehir Planlama,BEYOĞLU,28.974385,41.03177
Hizmet Binasi,Bina,063-Esenler Belediye Binasi,ESENLER,28.867578,41.054031
Hizmet Binasi,Bina,001-Esenler Otogar Beyaz Masa,ESENLER,28.894728,41.040605
Hizmet Binasi,Bina,ISADEM-Esenler,ESENLER,28.874942,41.044544
Hizmet Binasi,Bina,METRO-M1 Esenler,ESENLER,28.886224,41.038367
Hizmet Binasi,Bina,001-IBB Eurodesk Temas Noktasi,FATİH,28.975377,41.012464
Hizmet Binasi,Bina,001-IBB Fatih Hayvan Hastanesi,FATİH,28.953686,41.016743
Hizmet Binasi,Bina,001-IBB Sarachane Genel Sekreterlik,FATİH,28.955329,41.013452
Hizmet Binasi,Bina,001-IBB Sarachane Hizmet Binasi,FATİH,28.955328,41.013451
Hizmet Binasi,Bina,001-IBB Kartal Ek Hizmet Binasi,KARTAL,29.188055,40.912915
Hizmet Binasi,Bina,001-Kartal Cevre Koruma,KARTAL,29.186798,40.912949
Hizmet Binasi,Bina,001-Kartal Ilaclama Birimi,KARTAL,29.188325,40.914345
Hizmet Binasi,Bina,ISADEM-Kartal ,KARTAL,29.167631,40.910637
Hizmet Binasi,Bina,ISTTELKOM-Kartal Depo,KARTAL,29.188725,40.908255
Hizmet Binasi,Bina,001-Seyrantepe IBB Depolari,KAĞITHANE,28.994933,41.101021
Hizmet Binasi,Bina,001-Seyrantepe Rayli Sistemler Mudurlugu,KAĞITHANE,28.993083,41.10109
Hizmet Binasi,Bina,ISKI-Genel Mudurluk,KAĞITHANE,28.963528,41.085894
Hizmet Binasi,Bina,059-Kucukcekmece Mezarliklar,KÜÇÜKÇEKMECE,28.770549,40.986965
Hizmet Binasi,Bina,001-Pendik BeyazMasa,PENDİK,29.23489,40.876219
Hizmet Binasi,Bina,001-Pendik Deniz Hizmetleri,PENDİK,29.23887,40.875228
Hizmet Binasi,Bina,ISBAK-Sariyer Tunel Birimi,SARIYER,29.026577,41.158185
Hizmet Binasi,Bina,059-Sultanbeyli Mezarliklar,SULTANBEYLİ,29.258734,40.968617
Hizmet Binasi,Bina,001-Cirpici Destek Hizmetleri,ZEYTİNBURNU,28.888033,41.000837
Hizmet Binasi,Bina,ISADEM-Zeytinburnu,ZEYTİNBURNU,28.90418,40.992576
Hizmet Binasi,Bina,059-Cekmekoy Mezarliklar,ÇEKMEKÖY,29.182762,41.043525
Hizmet Binasi,Bina,METRO-M5 Umraniye Carsi,ÜMRANİYE,29.096637,41.026438
Hizmet Binasi,Bina,METRO-M5 Uskudar,ÜSKÜDAR,29.014,41.025858
Hizmet Binasi,Bina,ISTTELKOM-Genel Mudurluk,ŞİŞLİ,28.994621,41.061808
Hizmet Binasi,Bina,061-Sisli Yol Bakim,ŞİŞLİ,28.966969,41.058538
Hizmet Binasi,Engelliler,003-Umraniye Engelliler Merkezi,ÜMRANİYE,29.124633,41.021038
Hizmet Binasi,Hal,004-Bayrampasa Hal Baskanlik,BAYRAMPAŞA,28.887653,41.051808
Hizmet Binasi,Hal,004-Fatih Kumkapi Balik Hali,FATİH,28.962793,41.002499
Hizmet Binasi,Itfaiye,007-Arnavutkoy Itfaiye,ARNAVUTKÖY,28.72888,41.201328
Hizmet Binasi,Itfaiye,007-Atasehir Kayisdagi Itfaiye,ATAŞEHİR,29.147047,40.979311
Hizmet Binasi,Itfaiye,007-Bahcelievler Kocasinan Itfaiye,BAHÇELİEVLER,28.837072,41.013993
Hizmet Binasi,Itfaiye,007-Florya Itfaiye,BAKIRKÖY,28.808223,40.963388
Hizmet Binasi,Itfaiye,007-Bayrampasa Altintepsi Itfaiye,BAYRAMPAŞA,28.896352,41.039499
Hizmet Binasi,Itfaiye,007-Bagcilar Itfaiye,BAĞCILAR,28.858637,41.050171
Hizmet Binasi,Itfaiye,007-Basaksehir Kayasehir Resneli Itfaiye,BAŞAKŞEHİR,28.741173,41.083278
Hizmet Binasi,Itfaiye,007-Beykoz Itfaiye,BEYKOZ,29.098316,41.134308
